"代號","名稱","成交","漲跌價","漲跌幅","股利發放年度","除息交易日","現金股利","除息前價格","除息參考價","除息至今漲跌價","除息至今漲跌幅","填息貼息(元)","填息花費日數","除權交易日","股票股利","除權前價格","除權參考價","除權至今漲跌價","除權至今漲跌幅","填權貼權(元)","填權花費日數"
="4919","新唐","131.5","-2","-1.5","2019","19'08/12","2.5","48.3","45.8","+85.7","+187","+83.2","7","","0","","","","","",""
="4927","泰鼎-KY","67","+0.1","+0.15","2019","19'08/12","2.46","56.5","54","+13","+24.1","+10.5","122","","0","","","","","",""
="4930","燦星網","26","0","0","2019","","0","","","","","","","","0","","","","","",""
="4934","太極","38.4","+0.55","+1.45","2019","","0","","","","","","","","0","","","","","",""
="4935","茂林-KY","55.9","-0.2","-0.36","2019","19'07/18","0.8","59.5","58.7","-2.8","-4.77","-3.6","1","","0","","","","","",""
="4938","和碩","72.1","+0.6","+0.84","2019","19'07/31","3.5","56","52.5","+19.6","+37.3","+16.1","47","","0","","","","","",""
="4942","嘉彰","41.5","+0.05","+0.12","2019","19'08/23","2.5","39.3","36.8","+4.7","+12.8","+2.2","44","","0","","","","","",""
="4943","康控-KY","14.85","0","0","2019","19'07/29","5.15","176.5","163.5","-148.65","-90.9","-161.65","26","19'07/29","0.47","176.5","163.5","-148.65","-90.9","-161.65","26"
="4952","凌通","48.45","-0.5","-1.02","2019","19'07/03","2.5","36.8","34.3","+14.15","+41.3","+11.65","43","","0","","","","","",""
="4956","光鋐","15.55","-0.2","-1.27","2019","","0","","","","","","","","0","","","","","",""
="4958","臻鼎-KY","105.5","0","0","2019","19'07/08","4.46","104.5","100","+5.5","+5.5","+1","4","","0","","","","","",""
="4960","誠美材","12.3","-0.15","-1.2","2019","","0","","","","","","","","0","","","","","",""
="4961","天鈺","137.5","-1","-0.72","2019","19'08/30","1.3","40.7","39.4","+98.1","+249","+96.8","1","","0","","","","","",""
="4967","十銓","66","+3.2","+5.1","2019","19'09/30","2","25.45","23.45","+42.55","+181","+40.55","23","","0","","","","","",""
="4968","立積","182.5","-9.5","-4.95","2019","19'07/05","1.49","92.3","90.8","+91.7","+101","+90.2","5","","0","","","","","",""
="4976","佳凌","44.3","-1.6","-3.49","2019","","0","","","","","","","","0","","","","","",""
="4977","眾達-KY","83.5","-0.8","-0.95","2019","19'07/12","3.56","95.7","89.4","-5.9","-6.6","-12.2","33","19'07/12","0.31","95.7","89.4","-5.9","-6.6","-12.2","33"
="4989","榮科","26.4","0","0","2019","19'07/05","1.6","25.6","24","+2.4","+10","+0.8","43","","0","","","","","",""
="4994","傳奇","46.8","+0.65","+1.41","2019","","0","","","","","","","","0","","","","","",""
